user_id,nome,nome,responsavel,documento,telefone,email,cidade,uf,regiao,culturas,cluster,area_total,tipo_solo,praga_comum,safra_principal
user_127,Cooperativa Horizonte da Souza LTDA,Cooperativa Horizonte da Souza LTDA,Olivia Souza,616.002.522-90,(77) 88697-3017,cooperativahorizontedasouza@agrocorp.com.br,Cidade RO,RO,Outra,Algodão / Cana-de-Açúcar,DIAMOND,2500,Latossolo Amarelo,Cigarrinha,Abr-Ago
user_128,Agropecuária Lider do Ribeiro,Agropecuária Lider do Ribeiro,Tatiana Ribeiro,939.507.871-62,(63) 12675-1773,agropecuárialiderdoribeiro@agrocorp.com.br,Cidade AC,AC,Outra,Milho / Café,GOLD,1700,Terra Roxa,Nematoides / Ferrugem,Abr-Ago
user_129,Chácara São João do Almeida,Chácara São João do Almeida,Gabriel Almeida,201.704.703-04,(22) 90271-9902,chácarasãojoãodoalmeida@fazenda.com.br,Cidade CE,CE,Outra,Trigo,PLATINUM,1500,Neossolo,Percevejos / Cigarrinha,Abr-Ago
user_13,Granja Boa Vista da Lima,Granja Boa Vista da Lima,Mariana Lima,800.652.158-93,(92) 33873-2961,granjaboavistadalima@ruraltec.com.br,Cidade RO,RO,Outra,Milho / Algodão,DIAMOND,1700,Argissolo,Percevejos / Nematoides,Nov-Abr
user_130,Granja Progresso da Silva & Filhos,Granja Progresso da Silva & Filhos,Júlia Silva,804.055.158-26,(69) 20206-4192,granjaprogressodasilvafilhos@ruraltec.com.br,Cidade RS,RS,Outra,Milho,PLATINUM,800,Argissolo,Cigarrinha / Lagarta,Abr-Ago
user_131,Fazenda Verde do Rocha,Fazenda Verde do Rocha,Karen Rocha,713.935.519-28,(72) 18883-8919,fazendaverdedorocha@fazenda.com.br,Cidade AL,AL,Outra,Café,SILVER,1000,Latossolo Vermelho,Percevejos / Ferrugem,Set-Fev
user_132,Sítio São João da Costa & Filhos,Sítio São João da Costa & Filhos,Igor Costa,002.252.309-15,(77) 63535-8739,sítiosãojoãodacostafilhos@agrocorp.com.br,Lucas do Rio Verde,MS,Centro-Oeste,Café,DIAMOND,2500,Latossolo Vermelho,Ferrugem / Nematoides,Set-Fev
user_133,Granja Lider do Souza,Granja Lider do Souza,Vinicius Souza,622.004.396-42,(30) 52539-9578,granjaliderdosouza@fazenda.com.br,Cidade SE,SE,Outra,Milho / Cana-de-Açúcar,GOLD,1400,Terra Roxa,Nematoides,Set-Fev
user_134,Sítio Esperança do Nascimento LTDA,Sítio Esperança do Nascimento LTDA,Tatiana Nascimento,652.136.798-90,(70) 26557-6950,sítioesperançadonascimento@agrocorp.com.br,Cidade RO,RO,Outra,Milho / Cana-de-Açúcar,DIAMOND,2400,Neossolo,Nematoides / Ferrugem,Nov-Abr
user_135,Sítio Horizonte da Souza,Sítio Horizonte da Souza,Olivia Souza,971.206.501-54,(12) 77930-0231,sítiohorizontedasouza@ruraltec.com.br,Cidade AC,AC,Outra,Algodão / Trigo,GOLD,1900,Terra Roxa,Percevejos,Out-Mar
user_136,Fazenda Verde do Almeida Agro,Fazenda Verde do Almeida Agro,Rafael Almeida,357.942.423-09,(49) 19187-1084,fazendaverdedoalmeidaagro@agrocorp.com.br,Cidade AL,AL,Outra,Café / Algodão,DIAMOND,2600,Latossolo Vermelho,Percevejos,Nov-Abr
user_137,Chácara Lider do Martins,Chácara Lider do Martins,Mariana Martins,732.748.618-20,(83) 62745-5025,chácaraliderdomartins@ruraltec.com.br,Cidade PI,PI,Nordeste,Café,GOLD,2400,Neossolo,Cigarrinha,Set-Fev
user_138,Sítio São João da Cardoso,Sítio São João da Cardoso,Vinicius Cardoso,289.571.222-91,(42) 61591-4444,sítiosãojoãodacardoso@fazenda.com.br,Cidade PE,PE,Nordeste,Milho / Soja,DIAMOND,1000,Latossolo Amarelo,Percevejos / Nematoides,Nov-Abr
user_139,Cooperativa Lider do Pereira,Cooperativa Lider do Pereira,Mariana Pereira,377.496.541-27,(29) 31282-8855,cooperativaliderdopereira@fazenda.com.br,Cidade DF,DF,Outra,Café,SILVER,500,Argissolo,Ferrugem,Abr-Ago
user_14,Cooperativa Verde da Ferreira,Cooperativa Verde da Ferreira,Ana Ferreira,400.061.995-90,(42) 64558-0516,cooperativaverdedaferreira@ruraltec.com.br,Sorriso,MS,Centro-Oeste,Cana-de-Açúcar / Algodão,GOLD,1400,Latossolo Amarelo,Ferrugem / Lagarta,Nov-Abr
user_140,Fazenda Horizonte do Lima,Fazenda Horizonte do Lima,Vinicius Lima,992.897.506-49,(86) 90745-6907,fazendahorizontedolima@ruraltec.com.br,Cidade CE,CE,Outra,Soja,SILVER,500,Terra Roxa,Cigarrinha,Out-Mar
user_141,Fazenda Lider do Nascimento,Fazenda Lider do Nascimento,Helena Nascimento,481.214.981-22,(63) 85934-9293,fazendaliderdonascimento@agrocorp.com.br,Cidade RJ,RJ,Outra,Algodão,PLATINUM,600,Argissolo,Cigarrinha,Set-Fev
user_142,Fazenda Boa Vista da Nascimento,Fazenda Boa Vista da Nascimento,Leonardo Nascimento,243.200.975-33,(33) 98157-4390,fazendaboavistadanascimento@ruraltec.com.br,Cidade PA,PA,Norte,Trigo / Cana-de-Açúcar,SILVER,700,Latossolo Amarelo,Lagarta / Cigarrinha,Nov-Abr
user_143,Cooperativa Lider da Pereira,Cooperativa Lider da Pereira,Rafael Pereira,767.031.408-65,(30) 73311-0677,cooperativaliderdapereira@agrocorp.com.br,Cidade MG,MG,Outra,Cana-de-Açúcar / Soja,GOLD,1500,Argissolo,Ferrugem / Lagarta,Out-Mar
user_144,Granja Esperança da Ferreira,Granja Esperança da Ferreira,Mariana Ferreira,900.321.674-15,(99) 63077-3662,granjaesperançadaferreira@ruraltec.com.br,Cidade SC,SC,Outra,Algodão / Trigo,PLATINUM,2300,Argissolo,Ferrugem,Abr-Ago
user_145,Sítio Progresso da Cardoso LTDA,Sítio Progresso da Cardoso LTDA,Fernanda Cardoso,624.999.552-91,(71) 73669-7655,sítioprogressodacardoso@ruraltec.com.br,Cidade AL,AL,Outra,Café,DIAMOND,1900,Terra Roxa,Nematoides,Out-Mar
user_146,Chácara Horizonte da Barbosa,Chácara Horizonte da Barbosa,Bruno Barbosa,888.350.506-40,(40) 31687-6042,chácarahorizontedabarbosa@ruraltec.com.br,Cidade ES,ES,Outra,Trigo / Algodão,GOLD,1400,Latossolo Amarelo,Ferrugem / Cigarrinha,Out-Mar
user_147,Cooperativa Lider do Silva,Cooperativa Lider do Silva,Mariana Silva,327.183.896-54,(39) 35278-9995,cooperativaliderdosilva@agrocorp.com.br,Cidade AM,AM,Outra,Algodão / Trigo,GOLD,1400,Terra Roxa,Nematoides / Lagarta,Nov-Abr
user_148,Cooperativa Progresso do Martins,Cooperativa Progresso do Martins,Olivia Martins,891.227.022-11,(20) 70874-5835,cooperativaprogressodomartins@agrocorp.com.br,Cidade AL,AL,Outra,Algodão / Cana-de-Açúcar,SILVER,800,Latossolo Vermelho,Lagarta,Abr-Ago
user_149,Cooperativa Lider da Oliveira,Cooperativa Lider da Oliveira,Nicolas Oliveira,992.644.136-59,(18) 42488-5010,cooperativaliderdaoliveira@agrocorp.com.br,Cidade AL,AL,Outra,Trigo,GOLD,2900,Argissolo,Lagarta / Percevejos,Nov-Abr
user_15,Fazenda Ouro da Gomes LTDA,Fazenda Ouro da Gomes LTDA,Mariana Gomes,198.849.822-05,(74) 81204-1312,fazendaourodagomes@fazenda.com.br,Cidade DF,DF,Outra,Soja / Café,SILVER,700,Latossolo Amarelo,Ferrugem,Out-Mar
user_150,Cooperativa Esperança da Pereira,Cooperativa Esperança da Pereira,Daniela Pereira,007.353.247-52,(72) 39911-9985,cooperativaesperançadapereira@agrocorp.com.br,Rondonópolis,GO,Centro-Oeste,Trigo,GOLD,1000,Terra Roxa,Nematoides / Cigarrinha,Set-Fev
user_151,Fazenda Progresso do Cardoso,Fazenda Progresso do Cardoso,Ana Cardoso,762.440.376-52,(56) 55551-1876,fazendaprogressodocardoso@ruraltec.com.br,Cidade AM,AM,Outra,Algodão,SILVER,1500,Argissolo,Lagarta / Ferrugem,Set-Fev
user_152,Cooperativa São João da Silva,Cooperativa São João da Silva,Mariana Silva,261.719.957-06,(70) 37635-1311,cooperativasãojoãodasilva@fazenda.com.br,Cidade AL,AL,Outra,Cana-de-Açúcar / Algodão,DIAMOND,2100,Neossolo,Ferrugem / Cigarrinha,Set-Fev
user_153,Fazenda Verde do Costa,Fazenda Verde do Costa,Fernanda Costa,524.302.118-98,(89) 32462-8558,fazendaverdedocosta@ruraltec.com.br,Cidade RN,RN,Nordeste,Trigo / Soja,GOLD,2200,Latossolo Vermelho,Ferrugem,Set-Fev
user_154,Cooperativa Boa Vista do Costa,Cooperativa Boa Vista do Costa,Yasmin Costa,596.256.532-31,(77) 13392-5363,cooperativaboavistadocosta@agrocorp.com.br,Cidade MA,MA,Outra,Soja,GOLD,1500,Latossolo Vermelho,Percevejos / Lagarta,Abr-Ago
user_155,Granja Ouro da Pereira,Granja Ouro da Pereira,Júlia Pereira,646.945.256-72,(95) 41763-6177,granjaourodapereira@ruraltec.com.br,Cidade RN,RN,Nordeste,Milho / Soja,PLATINUM,1400,Neossolo,Cigarrinha / Percevejos,Out-Mar
user_156,Fazenda Ouro da Barbosa,Fazenda Ouro da Barbosa,Carlos Barbosa,128.004.728-94,(75) 48587-0005,fazendaourodabarbosa@fazenda.com.br,Cidade AP,AP,Outra,Milho,PLATINUM,1300,Argissolo,Nematoides / Ferrugem,Abr-Ago
user_157,Granja Boa Vista da Ribeiro,Granja Boa Vista da Ribeiro,Tatiana Ribeiro,956.255.492-01,(53) 81343-2009,granjaboavistadaribeiro@fazenda.com.br,Cidade PE,PE,Nordeste,Algodão / Milho,PLATINUM,1000,Latossolo Vermelho,Cigarrinha / Ferrugem,Out-Mar
user_158,Granja Boa Vista da Almeida,Granja Boa Vista da Almeida,Tatiana Almeida,102.537.457-88,(67) 59684-4741,granjaboavistadaalmeida@ruraltec.com.br,Cidade PB,PB,Outra,Trigo / Milho,PLATINUM,900,Argissolo,Ferrugem / Cigarrinha,Abr-Ago
user_159,Sítio Horizonte da Costa,Sítio Horizonte da Costa,Leonardo Costa,306.684.752-01,(21) 37719-7191,sítiohorizontedacosta@agrocorp.com.br,Cidade BA,BA,Nordeste,Trigo,SILVER,1000,Neossolo,Ferrugem / Nematoides,Out-Mar
user_16,Cooperativa Ouro do Costa LTDA,Cooperativa Ouro do Costa LTDA,Clara Costa,633.902.103-10,(54) 10935-8943,cooperativaourodocosta@ruraltec.com.br,Goiânia,MT,Centro-Oeste,Milho,DIAMOND,2200,Latossolo Amarelo,Ferrugem,Out-Mar
user_160,Cooperativa Horizonte da Barbosa,Cooperativa Horizonte da Barbosa,Júlia Barbosa,678.889.162-37,(18) 62621-6221,cooperativahorizontedabarbosa@ruraltec.com.br,Cidade AC,AC,Outra,Cana-de-Açúcar / Algodão,DIAMOND,2000,Argissolo,Ferrugem / Percevejos,Nov-Abr
user_161,Sítio Boa Vista do Ferreira,Sítio Boa Vista do Ferreira,Karen Ferreira,081.904.481-70,(50) 29040-7341,sítioboavistadoferreira@ruraltec.com.br,Cidade MA,MA,Outra,Algodão / Cana-de-Açúcar,DIAMOND,3500,Latossolo Vermelho,Cigarrinha / Nematoides,Out-Mar
user_162,Cooperativa São João da Almeida,Cooperativa São João da Almeida,Fernanda Almeida,529.721.053-86,(66) 49616-3739,cooperativasãojoãodaalmeida@agrocorp.com.br,Cidade RS,RS,Outra,Milho,DIAMOND,2600,Latossolo Amarelo,Ferrugem,Set-Fev
user_163,Sítio Lider da Oliveira,Sítio Lider da Oliveira,Daniela Oliveira,802.802.862-61,(94) 50813-1000,sítioliderdaoliveira@fazenda.com.br,Cidade TO,TO,Outra,Cana-de-Açúcar / Algodão,PLATINUM,2200,Neossolo,Ferrugem / Nematoides,Abr-Ago
user_164,Cooperativa Verde da Costa,Cooperativa Verde da Costa,Samuel Costa,221.028.465-33,(28) 91910-9205,cooperativaverdedacosta@agrocorp.com.br,Cidade AP,AP,Outra,Soja,SILVER,1500,Neossolo,Nematoides / Percevejos,Nov-Abr
user_165,Agropecuária Boa Vista do Barbosa,Agropecuária Boa Vista do Barbosa,Clara Barbosa,978.001.600-56,(24) 27654-9094,agropecuáriaboavistadobarbosa@agrocorp.com.br,Cidade RR,RR,Norte,Cana-de-Açúcar / Algodão,GOLD,2500,Argissolo,Ferrugem,Abr-Ago
user_166,Sítio Lider da Rocha EIRELI,Sítio Lider da Rocha EIRELI,Paulo Rocha,310.750.632-07,(84) 92310-3744,sítioliderdarocha@ruraltec.com.br,Cidade RS,RS,Outra,Trigo,PLATINUM,1200,Terra Roxa,Nematoides / Lagarta,Nov-Abr
user_167,Sítio São João do Ribeiro,Sítio São João do Ribeiro,Olivia Ribeiro,476.239.493-05,(98) 84408-3485,sítiosãojoãodoribeiro@fazenda.com.br,Cidade PA,PA,Norte,Trigo / Algodão,PLATINUM,1100,Argissolo,Cigarrinha / Lagarta,Out-Mar
user_168,Chácara Ouro do Oliveira Rural,Chácara Ouro do Oliveira Rural,Nicolas Oliveira,952.865.509-06,(15) 45941-6829,chácaraourodooliveirarural@agrocorp.com.br,Cidade MA,MA,Outra,Cana-de-Açúcar / Trigo,GOLD,1200,Terra Roxa,Ferrugem / Cigarrinha,Abr-Ago
user_169,Agropecuária Horizonte da Melo EIRELI,Agropecuária Horizonte da Melo EIRELI,Helena Melo,361.932.363-77,(99) 82266-5113,agropecuáriahorizontedamelo@agrocorp.com.br,Cidade RS,RS,Outra,Milho / Café,SILVER,2400,Argissolo,Percevejos,Out-Mar
user_17,Chácara Progresso da Souza,Chácara Progresso da Souza,Júlia Souza,166.807.636-44,(35) 23476-5140,chácaraprogressodasouza@agrocorp.com.br,Cidade MA,MA,Outra,Milho,DIAMOND,2400,Latossolo Vermelho,Nematoides / Lagarta,Out-Mar
user_170,Fazenda Verde do Souza,Fazenda Verde do Souza,Samuel Souza,892.502.605-86,(92) 89688-5812,fazendaverdedosouza@fazenda.com.br,Cidade AP,AP,Outra,Soja,SILVER,2000,Latossolo Vermelho,Lagarta,Nov-Abr
user_171,Fazenda Lider da Souza,Fazenda Lider da Souza,Nicolas Souza,694.424.736-87,(93) 84236-6375,fazendaliderdasouza@ruraltec.com.br,Cidade RO,RO,Outra,Algodão,GOLD,2600,Terra Roxa,Cigarrinha,Abr-Ago
user_172,Chácara Verde do Martins,Chácara Verde do Martins,Ana Martins,397.371.229-22,(39) 23012-5305,chácaraverdedomartins@fazenda.com.br,Cidade PB,PB,Outra,Milho,SILVER,1700,Terra Roxa,Lagarta / Nematoides,Set-Fev
user_173,Agropecuária Horizonte do Rocha,Agropecuária Horizonte do Rocha,Yasmin Rocha,641.325.242-91,(76) 73136-6314,agropecuáriahorizontedorocha@fazenda.com.br,Cidade AL,AL,Outra,Milho / Café,SILVER,2000,Terra Roxa,Ferrugem,Out-Mar
user_174,Fazenda Ouro do Nascimento,Fazenda Ouro do Nascimento,Karen Nascimento,431.780.938-59,(39) 72183-4818,fazendaourodonascimento@agrocorp.com.br,Cidade RO,RO,Outra,Trigo / Algodão,SILVER,900,Latossolo Vermelho,Ferrugem / Nematoides,Set-Fev
user_175,Cooperativa Progresso do Melo,Cooperativa Progresso do Melo,Olivia Melo,372.316.241-75,(25) 56954-1886,cooperativaprogressodomelo@agrocorp.com.br,Cidade PA,PA,Norte,Algodão,GOLD,1900,Latossolo Vermelho,Nematoides / Percevejos,Set-Fev
user_176,Fazenda Esperança do Lima Comércio,Fazenda Esperança do Lima Comércio,Vinicius Lima,825.887.718-21,(69) 34712-6454,fazendaesperançadolimacomércio@fazenda.com.br,Cidade DF,DF,Outra,Soja,PLATINUM,900,Latossolo Amarelo,Ferrugem,Nov-Abr
user_177,Fazenda São João do Barbosa,Fazenda São João do Barbosa,Olivia Barbosa,006.930.558-00,(32) 23597-1079,fazendasãojoãodobarbosa@fazenda.com.br,Rondonópolis,GO,Centro-Oeste,Café / Soja,SILVER,1100,Terra Roxa,Ferrugem / Lagarta,Nov-Abr
user_178,Cooperativa Esperança do Pereira,Cooperativa Esperança do Pereira,Vinicius Pereira,799.690.938-03,(87) 45640-9611,cooperativaesperançadopereira@agrocorp.com.br,Cidade ES,ES,Outra,Cana-de-Açúcar / Café,DIAMOND,3400,Latossolo Amarelo,Nematoides,Set-Fev
user_179,Cooperativa Horizonte da Almeida,Cooperativa Horizonte da Almeida,Júlia Almeida,043.975.913-28,(44) 88946-9812,cooperativahorizontedaalmeida@ruraltec.com.br,Cidade RJ,RJ,Outra,Soja,PLATINUM,1300,Terra Roxa,Nematoides / Lagarta,Abr-Ago
user_18,Sítio Boa Vista do Ribeiro Rural,Sítio Boa Vista do Ribeiro Rural,Júlia Ribeiro,094.526.042-27,(19) 62085-5795,sítioboavistadoribeirorural@fazenda.com.br,Campo Grande,MS,Centro-Oeste,Milho / Algodão,GOLD,2500,Latossolo Vermelho,Nematoides / Percevejos,Out-Mar
user_180,Sítio Lider da Ribeiro,Sítio Lider da Ribeiro,Yasmin Ribeiro,290.180.253-36,(78) 76473-1493,sítioliderdaribeiro@fazenda.com.br,Cidade CE,CE,Outra,Trigo / Café,GOLD,2200,Latossolo Vermelho,Lagarta,Set-Fev
user_181,Chácara Boa Vista do Silva,Chácara Boa Vista do Silva,Leonardo Silva,198.488.618-37,(28) 67933-0101,chácaraboavistadosilva@fazenda.com.br,Cidade MA,MA,Outra,Café,SILVER,2200,Terra Roxa,Ferrugem,Abr-Ago
user_182,Chácara Esperança do Gomes,Chácara Esperança do Gomes,Nicolas Gomes,731.957.398-64,(24) 85854-3082,chácaraesperançadogomes@agrocorp.com.br,Cidade SE,SE,Outra,Trigo,DIAMOND,3700,Latossolo Amarelo,Percevejos / Ferrugem,Nov-Abr
user_183,Sítio Progresso do Ribeiro,Sítio Progresso do Ribeiro,Igor Ribeiro,463.814.014-94,(99) 75752-8208,sítioprogressodoribeiro@agrocorp.com.br,Lucas do Rio Verde,MT,Centro-Oeste,Café,GOLD,1800,Terra Roxa,Percevejos / Lagarta,Nov-Abr
user_184,Cooperativa Ouro da Barbosa,Cooperativa Ouro da Barbosa,Ana Barbosa,163.088.882-44,(74) 33325-2439,cooperativaourodabarbosa@agrocorp.com.br,Cidade BA,BA,Nordeste,Café / Trigo,GOLD,700,Terra Roxa,Lagarta / Nematoides,Nov-Abr
user_185,Granja Horizonte do Pereira,Granja Horizonte do Pereira,Paulo Pereira,822.100.421-55,(74) 99138-3134,granjahorizontedopereira@fazenda.com.br,Cidade ES,ES,Outra,Milho / Cana-de-Açúcar,PLATINUM,2300,Neossolo,Ferrugem / Cigarrinha,Nov-Abr
